,TEAM,TEAM_ID,START_DATE,END_DATE,AVERAGE_CLUSTERING,S_METRIC,GLOBAL_EFFICIENCY,LOCAL_EFFICIENCY,CLIQUE_NUMBER,NODE_CONNECTIVITY,STOER_WAGNER,AVERAGE_CORE_NUMBER,DEGREE_ASSORTATIVITY_COEFFICIENT,RANDOMIZED_PARTITIONING,ONE_EXCHANGE,ESTRADA_INDEX,PROMINENT_GROUP_CENTRALITY,AVERAGE_NODE_CONNECTIVITY,AVERAGE_DEGREE_CONNECTIVITY
15,SAC,1610612758,2021-10-20,2021-11-19,0.8825396825396825,1412.0,0.9166666666666666,0.9412698412698413,6,5,,5.0,-0.1762297840927082,1267.2933333333333,1683.0,941.0904332303677,,5.833333333333333,7.388659252075789
16,SAC,1610612758,2021-10-22,2021-11-20,0.8825396825396825,1412.0,0.9166666666666666,0.9412698412698413,6,5,,5.0,-0.18128036506253034,1285.2133333333334,1647.0,941.0904332303677,,5.833333333333333,7.36918910674198
17,SAC,1610612758,2021-10-24,2021-11-22,0.8825396825396825,1412.0,0.9166666666666666,0.9412698412698413,6,5,,5.0,-0.1695464248272665,1226.84,1676.0,941.0904332303677,,5.833333333333333,7.330943896369849
18,SAC,1610612758,2021-10-27,2021-11-24,0.8825396825396825,1412.0,0.9166666666666666,0.9412698412698413,6,5,,5.0,-0.1650939554394084,1210.44,1602.0,941.0904332303677,,5.833333333333333,7.318176645746765
19,SAC,1610612758,2021-10-29,2021-11-26,0.8825396825396825,1412.0,0.9166666666666666,0.9412698412698413,6,5,,5.0,-0.16540227948482747,1196.88,1591.0,941.0904332303677,,5.833333333333333,7.288600818045076
20,SAC,1610612758,2021-10-31,2021-11-28,0.9153439153439152,1684.0,0.9444444444444444,0.9576719576719577,7,5,,5.888888888888889,-0.1492502112459871,1256.7066666666667,1571.0,1399.6780605664667,,6.472222222222222,7.607205353187005
21,SAC,1610612758,2021-11-02,2021-11-30,0.9153439153439152,1684.0,0.9444444444444444,0.9576719576719577,7,5,,5.888888888888889,-0.16006781830799413,1135.1866666666667,1538.0,1399.6780605664667,,6.472222222222222,7.607122702901285
22,SAC,1610612758,2021-11-03,2021-12-01,0.9153439153439152,1684.0,0.9444444444444444,0.9576719576719577,7,5,,5.888888888888889,-0.16934920485823562,1161.2933333333333,1510.0,1399.6780605664667,,6.472222222222222,7.608865852931967
23,SAC,1610612758,2021-11-05,2021-12-04,0.9153439153439152,1684.0,0.9444444444444444,0.9576719576719577,7,5,,5.888888888888889,-0.1795627080461895,1229.16,1533.0,1399.6780605664667,,6.472222222222222,7.624586642877547
24,SAC,1610612758,2021-11-07,2021-12-08,0.9153439153439152,1684.0,0.9444444444444444,0.9576719576719577,7,5,,5.888888888888889,-0.18993058254106807,1135.68,1511.0,1399.6780605664667,,6.472222222222222,7.650676635809721
25,SAC,1610612758,2021-11-08,2021-12-10,0.9153439153439152,1684.0,0.9444444444444444,0.9576719576719577,7,5,,5.888888888888889,-0.19973955747596728,1176.88,1556.0,1399.6780605664667,,6.472222222222222,7.664483515953016
26,SAC,1610612758,2021-11-10,2021-12-11,0.9153439153439152,1684.0,0.9444444444444444,0.9576719576719577,7,5,,5.888888888888889,-0.20014237393602352,1113.7333333333333,1471.0,1399.6780605664667,,6.472222222222222,7.6685447731107415
27,SAC,1610612758,2021-11-12,2021-12-13,0.9153439153439152,1684.0,0.9444444444444444,0.9576719576719577,7,5,,5.888888888888889,-0.21277789526314697,1068.5066666666667,1413.0,1399.6780605664667,,6.472222222222222,7.680052752260171
28,SAC,1610612758,2021-11-15,2021-12-15,0.9153439153439152,1684.0,0.9444444444444444,0.9576719576719577,7,5,,5.888888888888889,-0.21687791152226685,1069.0,1378.0,1399.6780605664667,,6.472222222222222,7.682563577024834
29,SAC,1610612758,2021-11-17,2021-12-17,0.9153439153439152,1684.0,0.9444444444444444,0.9576719576719577,7,5,,5.888888888888889,-0.22399220324673885,1053.7866666666666,1363.0,1399.6780605664667,,6.472222222222222,7.70591068514915
30,SAC,1610612758,2021-11-19,2021-12-19,0.9285714285714286,1824.0,0.9583333333333334,0.9642857142857143,7,6,,6.0,-0.16551420444660228,1045.4533333333334,1309.0,1680.3698109900856,,6.833333333333333,7.721466961745179
31,SAC,1610612758,2021-11-20,2021-12-20,0.9285714285714286,1824.0,0.9583333333333334,0.9642857142857143,7,6,,6.0,-0.170468649650252,956.7066666666667,1272.0,1680.3698109900856,,6.833333333333333,7.714285714285714
32,SAC,1610612758,2021-11-22,2021-12-22,0.9285714285714286,1824.0,0.9583333333333334,0.9642857142857143,7,6,,6.0,-0.18670189897672143,931.52,1203.0,1680.3698109900856,,6.833333333333333,7.72987721691678
33,SAC,1610612758,2021-11-24,2021-12-26,0.9285714285714286,1824.0,0.9583333333333334,0.9642857142857143,7,6,,6.0,-0.1968664569872091,923.3466666666667,1172.0,1680.3698109900856,,6.833333333333333,7.737099023709902
34,SAC,1610612758,2021-11-26,2021-12-28,0.9285714285714286,1824.0,0.9583333333333334,0.9642857142857143,7,6,,6.0,-0.19576839169628785,916.4666666666667,1157.0,1680.3698109900856,,6.833333333333333,7.7365079365079366
35,SAC,1610612758,2021-11-28,2021-12-29,0.9285714285714286,1824.0,0.9583333333333334,0.9642857142857143,7,6,,6.0,-0.19463258445320036,870.3066666666666,1155.0,1680.3698109900856,,6.833333333333333,7.73342736248237
36,SAC,1610612758,2021-11-30,2021-12-31,0.9285714285714286,1824.0,0.9583333333333334,0.9642857142857143,7,6,,6.0,-0.18804882159071892,920.5066666666667,1208.0,1680.3698109900856,,6.833333333333333,7.724914675767918
37,SAC,1610612758,2021-12-01,2022-01-02,0.9285714285714286,1824.0,0.9583333333333334,0.9642857142857143,7,6,,6.0,-0.18889392092173407,921.4133333333333,1176.0,1680.3698109900856,,6.833333333333333,7.726824109975325
38,SAC,1610612758,2021-12-04,2022-01-04,0.9285714285714286,1824.0,0.9583333333333334,0.9642857142857143,7,6,,6.0,-0.1807784836978585,838.68,1091.0,1680.3698109900856,,6.833333333333333,7.725909261342332
39,SAC,1610612758,2021-12-08,2022-01-05,0.9285714285714286,1824.0,0.9583333333333334,0.9642857142857143,7,6,,6.0,-0.16443310335070993,857.32,1102.0,1680.3698109900856,,6.833333333333333,7.713096139288417
40,SAC,1610612758,2021-12-10,2022-01-07,0.9285714285714286,1824.0,0.9583333333333334,0.9642857142857143,7,6,,6.0,-0.1487972221309936,820.5333333333333,1062.0,1680.3698109900856,,6.833333333333333,7.690590111642743
41,SAC,1610612758,2021-12-11,2022-01-09,0.9285714285714286,1824.0,0.9583333333333334,0.9642857142857143,7,6,,6.0,-0.14052159569135203,821.9733333333334,1054.0,1680.3698109900856,,6.833333333333333,7.672309552599758
42,SAC,1610612758,2021-12-13,2022-01-10,0.9285714285714286,1824.0,0.9583333333333334,0.9642857142857143,7,6,,6.0,-0.13523201351058556,813.7733333333333,1031.0,1680.3698109900856,,6.833333333333333,7.657872340425532
43,SAC,1610612758,2021-12-15,2022-01-12,0.8920634920634921,2349.0,0.9222222222222223,0.946031746031746,7,5,,5.9,-0.1782726567564426,786.1466666666666,1033.0,2534.1407128486608,,6.688888888888889,8.478549889692099
44,SAC,1610612758,2021-12-17,2022-01-14,0.8920634920634921,2349.0,0.9222222222222223,0.946031746031746,7,5,,5.9,-0.1812489334631818,813.12,1024.0,2534.1407128486608,,6.688888888888889,8.462879563406183
45,SAC,1610612758,2021-12-19,2022-01-16,0.8920634920634921,2349.0,0.9222222222222223,0.946031746031746,7,5,,5.9,-0.19589826777672417,821.1333333333333,1095.0,2534.1407128486608,,6.688888888888889,8.48281751732987
46,SAC,1610612758,2021-12-20,2022-01-19,0.8920634920634921,2349.0,0.9222222222222223,0.946031746031746,7,5,,5.9,-0.22895898111737945,909.44,1209.0,2534.1407128486608,,6.688888888888889,8.572701101135545
47,SAC,1610612758,2021-12-22,2022-01-22,0.8920634920634921,2349.0,0.9222222222222223,0.946031746031746,7,5,,5.9,-0.24904880258550724,982.0933333333334,1347.0,2534.1407128486608,,6.688888888888889,8.562792454383535
48,SAC,1610612758,2021-12-26,2022-01-25,0.8841269841269842,2199.0,0.9111111111111111,0.942063492063492,7,5,,5.8,-0.28697808424113125,1098.1466666666668,1406.0,2162.9677993029054,,6.4,8.50474203676324
49,SAC,1610612758,2021-12-28,2022-01-26,0.8841269841269842,2199.0,0.9111111111111111,0.942063492063492,7,5,,5.8,-0.28819753119962965,1053.16,1375.0,2162.9677993029054,,6.4,8.487350279910505
50,SAC,1610612758,2021-12-29,2022-01-29,0.8920634920634921,2349.0,0.9222222222222223,0.946031746031746,7,5,,5.9,-0.259932407095645,1023.4,1323.0,2534.1407128486608,,6.688888888888889,8.50159433522648
51,SAC,1610612758,2021-12-31,2022-01-31,0.8920634920634921,2349.0,0.9222222222222223,0.946031746031746,7,5,,5.9,-0.2632313142955149,985.68,1296.0,2534.1407128486608,,6.688888888888889,8.474055338897193
52,SAC,1610612758,2022-01-02,2022-02-02,0.8920634920634921,2349.0,0.9222222222222223,0.946031746031746,7,5,,5.9,-0.26748561878995986,1092.6133333333332,1315.0,2534.1407128486608,,6.688888888888889,8.478717753075328
53,SAC,1610612758,2022-01-04,2022-02-03,0.8920634920634921,2349.0,0.9222222222222223,0.946031746031746,7,5,,5.9,-0.26984383735532436,1067.16,1339.0,2534.1407128486608,,6.688888888888889,8.479934523276345
54,SAC,1610612758,2022-01-05,2022-02-05,0.8920634920634921,2349.0,0.9222222222222223,0.946031746031746,7,5,,5.9,-0.26674673732868576,1103.6,1395.0,2534.1407128486608,,6.688888888888889,8.474307246866116
55,SAC,1610612758,2022-01-07,2022-02-08,0.8920634920634921,2349.0,0.9222222222222223,0.946031746031746,7,5,,5.9,-0.2512282468906199,1134.8533333333332,1464.0,2534.1407128486608,,6.688888888888889,8.467712120238481
56,SAC,1610612758,2022-01-09,2022-02-09,0.8920634920634921,2349.0,0.9222222222222223,0.946031746031746,7,5,,5.9,-0.2561798459312616,1254.68,1525.0,2534.1407128486608,,6.688888888888889,8.468166607383402
57,SAC,1610612758,2022-01-10,2022-02-12,0.8412698412698413,4732.0,0.8589743589743589,0.9206349206349207,7,5,,5.923076923076923,-0.287282738683106,1362.2533333333333,1724.0,9262.183979223495,,6.987179487179487,10.857705245611982
58,SAC,1610612758,2022-01-12,2022-02-14,0.8368841475984333,6431.0,0.8571428571428571,0.9184420737992168,8,4,,6.714285714285714,-0.274254851116889,1559.2533333333333,1883.0,19770.218093264648,,7.56043956043956,11.549612711277735
59,SAC,1610612758,2022-01-14,2022-02-16,0.8368841475984333,6431.0,0.8571428571428571,0.9184420737992168,8,4,,6.714285714285714,-0.2813358244215696,1617.44,1973.0,19770.218093264648,,7.56043956043956,11.482486130064563
60,SAC,1610612758,2022-01-16,2022-02-24,0.8309823509823511,6685.0,0.8174603174603176,0.9154911754911755,8,2,,6.4,-0.2915905106441289,1780.8666666666666,2133.0,20384.642315781464,,6.828571428571428,11.739028316638915
