,TEAM,TEAM_ID,START_DATE,END_DATE,AVERAGE_CLUSTERING,S_METRIC,GLOBAL_EFFICIENCY,LOCAL_EFFICIENCY,CLIQUE_NUMBER,NODE_CONNECTIVITY,STOER_WAGNER,AVERAGE_CORE_NUMBER,DEGREE_ASSORTATIVITY_COEFFICIENT,RANDOMIZED_PARTITIONING,ONE_EXCHANGE,ESTRADA_INDEX,PROMINENT_GROUP_CENTRALITY,AVERAGE_NODE_CONNECTIVITY,AVERAGE_DEGREE_CONNECTIVITY
15,DAL,1610612742,2021-10-21,2021-11-21,0.9228655603655603,6127.0,0.9545454545454546,0.9614327801827801,9,8,,8.0,-0.10851515069030951,1946.2933333333333,2447.0,24296.05986102552,,9.333333333333334,10.561566812688275
16,DAL,1610612742,2021-10-23,2021-11-23,0.9228655603655603,6127.0,0.9545454545454546,0.9614327801827801,9,8,,8.0,-0.1049594088194516,2059.5066666666667,2388.0,24296.05986102552,,9.333333333333334,10.559481118457251
17,DAL,1610612742,2021-10-26,2021-11-27,0.9228655603655603,6127.0,0.9545454545454546,0.9614327801827801,9,8,,8.0,-0.1072158053541561,1994.32,2358.0,24296.05986102552,,9.333333333333334,10.557622992576384
18,DAL,1610612742,2021-10-28,2021-11-29,0.9133297258297258,5865.0,0.946969696969697,0.956664862914863,9,7,,7.916666666666667,-0.10732392825600551,1883.6666666666667,2367.0,21214.93410457539,,9.090909090909092,10.435777148982648
19,DAL,1610612742,2021-10-29,2021-12-01,0.9397306397306396,6431.0,0.9621212121212122,0.96986531986532,10,8,,8.833333333333334,-0.11018682846644834,1889.32,2311.0,28589.95078351844,,9.530303030303031,10.64256861355098
20,DAL,1610612742,2021-10-31,2021-12-03,0.9147847522847524,5864.0,0.946969696969697,0.957392376142376,9,7,,7.916666666666667,-0.10614140829231188,2011.1066666666666,2407.0,21181.20373824904,,9.06060606060606,10.43794377486861
21,DAL,1610612742,2021-11-02,2021-12-04,0.9147847522847524,5864.0,0.946969696969697,0.957392376142376,9,7,,7.916666666666667,-0.10616803373981,2004.9866666666667,2392.0,21181.20373824904,,9.06060606060606,10.440285549753003
22,DAL,1610612742,2021-11-03,2021-12-07,0.9276936026936027,6146.0,0.9545454545454546,0.9638468013468012,9,7,,8.833333333333334,-0.0981824021436453,2020.3866666666668,2383.0,24671.439768100103,,9.303030303030303,10.515136161597004
23,DAL,1610612742,2021-11-06,2021-12-08,0.9276936026936027,6146.0,0.9545454545454546,0.9638468013468012,9,7,,8.833333333333334,-0.08804539747308025,1977.3866666666668,2306.0,24671.439768100143,,9.303030303030303,10.49108125647024
24,DAL,1610612742,2021-11-08,2021-12-10,0.9547558922558922,6994.0,0.9772727272727273,0.977377946127946,10,9,,9.0,-0.11109093608390512,1922.9866666666667,2299.0,37581.87819230925,,10.151515151515152,10.82038497225153
25,DAL,1610612742,2021-11-10,2021-12-12,0.9683501683501684,7308.0,0.9848484848484849,0.9841750841750843,10,10,,10.0,-0.10042945177541863,1859.6133333333332,2237.0,43685.456330125045,,10.424242424242424,10.850258678776804
26,DAL,1610612742,2021-11-12,2021-12-13,0.9848484848484849,7645.0,0.9924242424242424,0.9924242424242423,11,10,,10.0,-0.09817821012046074,1802.1333333333334,2221.0,51245.135905393,,10.681818181818182,10.95027832104709
27,DAL,1610612742,2021-11-15,2021-12-15,0.9848484848484849,7645.0,0.9924242424242424,0.9924242424242423,11,10,,10.0,-0.10066897947968277,1777.16,2205.0,51245.135905393,,10.681818181818182,10.95232782983787
28,DAL,1610612742,2021-11-17,2021-12-19,0.9683501683501684,7308.0,0.9848484848484849,0.9841750841750843,10,10,,10.0,-0.08975539135628371,1859.9066666666668,2195.0,43685.456330125104,,10.424242424242424,10.804220550154033
29,DAL,1610612742,2021-11-19,2021-12-21,0.9683501683501684,7308.0,0.9848484848484849,0.9841750841750843,10,10,,10.0,-0.08810485367340394,1816.0,2237.0,43685.456330125104,,10.424242424242424,10.808709532629651
30,DAL,1610612742,2021-11-21,2021-12-23,0.8978751407322836,9202.0,0.9120879120879121,0.9489375703661418,10,6,,8.571428571428571,-0.057256493463416186,1944.7066666666667,2346.0,63840.84451651605,,9.340659340659341,11.613696241956097
31,DAL,1610612742,2021-11-23,2021-12-25,0.8808374165517022,8823.0,0.9065934065934066,0.9404187082758513,10,6,,8.571428571428571,-0.08274174425392922,1964.56,2270.0,54669.36152240588,,9.263736263736265,11.417074790043351
32,DAL,1610612742,2021-11-27,2021-12-27,0.8730757337900193,8485.0,0.9010989010989011,0.9365378668950098,9,6,,8.571428571428571,-0.09772055244046306,1966.12,2413.0,47549.28370259213,,9.076923076923077,11.296410841910275
33,DAL,1610612742,2021-11-29,2021-12-29,0.8696077731792017,8759.0,0.9065934065934066,0.934803886589601,9,7,,8.714285714285714,-0.09841682245861272,1876.8666666666666,2344.0,52377.95346434548,,9.351648351648352,11.403801618453583
34,DAL,1610612742,2021-12-01,2021-12-31,0.8788945181802322,9070.0,0.9120879120879121,0.9394472590901163,9,7,,8.714285714285714,-0.09951486832809446,1863.4133333333334,2295.0,58686.74252444036,,9.461538461538462,11.522216216569936
35,DAL,1610612742,2021-12-03,2022-01-02,0.8628772021629164,8756.0,0.9065934065934066,0.9314386010814584,8,7,,7.928571428571429,-0.11803200462823356,1795.2666666666667,2216.0,51720.81471172445,,9.263736263736265,11.545508295492715
36,DAL,1610612742,2021-12-04,2022-01-03,0.8798443619872189,10043.0,0.9285714285714286,0.9399221809936096,9,8,,8.928571428571429,-0.1150699989310648,1836.8666666666666,2238.0,83424.44233084179,,10.153846153846153,11.933083423482978
37,DAL,1610612742,2021-12-07,2022-01-05,0.8785325785325784,9452.0,0.9175824175824175,0.9392662892662893,9,6,,8.785714285714286,-0.10148509711463495,1826.12,2168.0,68383.86108666862,,9.714285714285714,11.788348241192399
38,DAL,1610612742,2021-12-08,2022-01-07,0.8785325785325784,9452.0,0.9175824175824175,0.9392662892662893,9,6,,8.785714285714286,-0.10241267401745702,1866.5066666666667,2234.0,68383.86108666862,,9.714285714285714,11.809223299313938
39,DAL,1610612742,2021-12-10,2022-01-09,0.889085914085914,9820.0,0.9230769230769231,0.9445429570429571,9,6,,8.785714285714286,-0.12516144489343514,1962.2266666666667,2331.0,78757.76080885914,,9.868131868131869,11.892693398808863
