,TEAM,TEAM_ID,START_DATE,END_DATE,AVERAGE_CLUSTERING,S_METRIC,GLOBAL_EFFICIENCY,LOCAL_EFFICIENCY,CLIQUE_NUMBER,NODE_CONNECTIVITY,STOER_WAGNER,AVERAGE_CORE_NUMBER,DEGREE_ASSORTATIVITY_COEFFICIENT,RANDOMIZED_PARTITIONING,ONE_EXCHANGE,ESTRADA_INDEX,PROMINENT_GROUP_CENTRALITY,AVERAGE_NODE_CONNECTIVITY,AVERAGE_DEGREE_CONNECTIVITY
15,DEN,1610612743,2021-10-20,2021-11-19,0.9009740259740261,5188.0,0.9242424242424242,0.950487012987013,10,5,,8.416666666666666,0.03549595000639061,2283.6133333333332,2861.0,15055.557165204926,,8.393939393939394,9.617100481003012
16,DEN,1610612743,2021-10-22,2021-11-21,0.9009740259740261,5188.0,0.9242424242424242,0.950487012987013,10,5,,8.416666666666666,0.02967330945913181,2194.5333333333333,2803.0,15055.557165204926,,8.393939393939394,9.650898097643047
17,DEN,1610612743,2021-10-25,2021-11-23,0.9009740259740261,5188.0,0.9242424242424242,0.950487012987013,10,5,,8.416666666666666,0.027502183055470336,2188.28,2749.0,15055.557165204926,,8.393939393939394,9.759459055388518
18,DEN,1610612743,2021-10-26,2021-11-26,0.9027195027195027,5895.0,0.8846153846153846,0.9501942501942503,10,2,,8.076923076923077,0.0483614578703538,2242.2533333333336,2743.0,20491.58732725645,,7.730769230769231,10.052854750305517
19,DEN,1610612743,2021-10-29,2021-11-29,0.8905538905538907,7144.0,0.9230769230769231,0.9452769452769451,10,7,,8.615384615384615,-0.040417729732630865,2308.9333333333334,2752.0,32643.49321548618,,9.076923076923077,10.799255107449069
20,DEN,1610612743,2021-10-30,2021-12-01,0.9086358086358085,7745.0,0.9358974358974359,0.9543179043179042,10,7,,8.692307692307692,-0.058289743746137476,2289.0,2818.0,42688.338353526335,,9.5,11.020342226005065
21,DEN,1610612743,2021-11-01,2021-12-04,0.934032634032634,8703.0,0.9551282051282052,0.9670163170163171,11,8,,9.692307692307692,-0.1303152316418918,2402.0,2845.0,63757.2479948938,,10.128205128205128,11.538490123490556
22,DEN,1610612743,2021-11-03,2021-12-06,0.9054778554778554,9927.0,0.9230769230769231,0.9527389277389278,11,6,,9.428571428571429,-0.18589908250284892,2370.12,2943.0,83541.61153987229,,9.703296703296703,12.239808039821215
23,DEN,1610612743,2021-11-06,2021-12-08,0.9127650127650127,10054.0,0.9230769230769231,0.9563825063825064,11,4,,9.428571428571429,-0.16336838137841078,2457.7466666666664,2940.0,90413.19349838354,,9.846153846153847,12.200155496597235
24,DEN,1610612743,2021-11-08,2021-12-09,0.9526418026418028,9687.0,0.9743589743589743,0.9763209013209013,11,9,,9.923076923076923,-0.06854290483494982,2518.2933333333335,3009.0,92820.0606555111,,10.961538461538462,11.707155614177621
