PLAYER_1,PLAYER_2,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,FTA_RATE,TM_AST_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_FG3_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,SCORING_EDGE_WEIGHT
2738,203490,-2738-203490-,A. Iguodala - O. Porter Jr.,1610612744,GSW,314.6,103.4,99.2,4.2,97.58,0.546,0.203,0.682,0.507,0.493,0.069,0.133,0.13,0.404,0.682,0.318,0.319,0.487,0.218,0.152,0.495867769
203493,1628425,-203493-1628425-,R. Bullock - S. Brown,1610612742,DAL,169.4,92.4,97.8,-5.4,102.69,0.501,0.231,0.608,0.568,0.432,0.076,0.091,0.174,0.388,0.608,0.392,0.296,0.487,0.222,0.154,0.495867769
200794,1629680,-200794-1629680-,P. Millsap - M. Thybulle,1610612755,PHI,18.2,116.2,105,11.2,101.4,0.57,0.406,0.615,0.563,0.438,0.047,0.279,0.302,0.372,0.615,0.385,0.167,0.485,0.364,0.1,0.494505495
1626192,1629623,-1626192-1629623-,P. Connaughton - L. Wigginton,1610612749,MIL,16.2,116.7,157.6,-40.9,102.27,0.613,0.414,0.5,0.586,0.414,0.095,0.048,0.214,0.333,0.5,0.5,0.5,0.724,0.448,0.061,0.49382716
1626174,1630243,-1626174-1630243-,C. Wood - T. Queen,1610612745,HOU,14.2,100,153.3,-53.3,101.37,0.566,0.348,0.556,0.435,0.565,0,0,0.233,0.267,0.556,0.444,0.667,0.909,0.318,0.133,0.492957746
1629641,1630563,-1629641-1630563-,R. Langford - J. Primo,1610612759,SAS,20.3,106.8,95.5,11.4,104.13,0.537,0.571,0.529,0.657,0.343,0.043,0.128,0.234,0.596,0.529,0.471,0.357,0.474,0.154,0.159,0.492610837
202689,1629629,-202689-1629629-,K. Walker - C. Reddish,1610612752,NYK,4.1,50,172.7,-122.7,110.32,0.25,0,0.5,0.625,0.375,0.5,0,0,0.5,0.5,0.5,0.667,0.667,0.889,0,0.487804878
202334,1629164,-202334-1629164-,E. Davis - B. Goodwin,1610612739,CLE,30.9,95.3,81,14.3,94.72,0.607,0.512,0.474,0.61,0.39,0.033,0.066,0.295,0.426,0.474,0.526,0.24,0.373,0.196,0.19,0.485436893
201976,1630233,-201976-1630233-,P. Beverley - N. Knight,1610612750,MIN,35.1,94.3,114.7,-20.4,94.31,0.457,0.212,0.625,0.5,0.5,0.03,0.106,0.167,0.485,0.625,0.375,0.419,0.55,0.086,0.132,0.484330484
202324,1630598,-202324-1630598-,D. Favors - A. Wiggins,1610612760,OKC,95.2,92.6,99,-6.4,102.86,0.526,0.187,0.589,0.675,0.325,0.074,0.074,0.148,0.54,0.589,0.411,0.333,0.503,0.206,0.123,0.483193277
