,Name,Salary
192,Coby White,5837760.0
193,Timofey Mozgov,5573333.0
194,Killian Hayes,5572680.0
195,Mikal Bridges,5557725.0
196,Shai Gilgeous-Alexander,5495532.0
197,Jonathan Kuminga,5466360.0
198,Miles Bridges,5421493.0
199,Jaxson Hayes,5348280.0
200,Pat Connaughton,5333334.0
201,Kris Dunn,5317430.0
202,George Hill,5275491.0
203,Michael Porter,5258735.0
204,Dewayne Dedmon,5256308.0
205,Ryan Anderson,5214583.0
206,Hamidou Diallo,5200000.0
207,Kevon Looney,5178572.0
208,Troy Brown,5170564.0
209,Obi Toppin,5105160.0
210,Franz Wagner,5007840.0
211,Josh Jackson,5005350.0
212,Louis Williams,5000000.0
213,Kendrick Nunn,5000000.0
214,Luol Deng,5000000.0
215,Robin Lopez,5000000.0
216,JaVale McGee,5000000.0
217,Danuel House,4997424.0
218,Rui Hachimura,4916160.0
219,Garrett Temple,4910000.0
220,Taj Gibson,4910000.0
221,Torrey Craig,4878049.0
222,Bruce Brown,4736102.0
223,Deni Avdija,4692840.0
224,Donte DiVincenzo,4675830.0
225,Cam Reddish,4670160.0
226,David Nwaba,4650000.0
227,Furkan Korkmaz,4629630.0
228,Davion Mitchell,4603200.0
229,Jeff Green,4500000.0
230,Bryn Forbes,4500000.0
231,Ishmael Smith,4500000.0
232,Jalen Smith,4458000.0
233,Lonnie Walker,4447896.0
234,Cameron Johnson,4437000.0
235,Ziaire Williams,4373040.0
236,Bobby Portis,4347600.0
237,Moe Harkless,4347600.0
238,Kevin Huerter,4253357.0
239,Devin Vassell,4235160.0
240,Chandler Hutchison,4224186.0
241,Willie Cauley-Stein,4220083.0
242,PJ Washington,4215120.0
243,James Bouknight,4154400.0
244,Jevon Carter,4107149.0
245,Josh Okogie,4087904.0
246,Grayson Allen,4054695.0
247,Jarred Vanderbilt,4050000.0
248,Tyrese Haliburton,4023600.0
249,Tyler Herro,4004280.0
250,Gorgui Dieng,4000000.0
251,Dorian Finney-Smith,4000000.0
252,Terence Davis,4000000.0
253,Aaron Holiday,3980551.0
254,Josh Primo,3946800.0
255,Jake Layman,3940184.0
256,Anfernee Simons,3938818.0
257,Justise Winslow,3902439.0
258,Kira Lewis,3822240.0
259,Romeo Langford,3804360.0
260,Sekou Doumbouya,3799131.0
261,Landry Shamet,3768342.0
262,Chris Duarte,3749400.0
263,Alex Len,3732000.0
264,Robert Williams,3661976.0
265,Aaron Nesmith,3631200.0
266,Moses Moody,3562200.0
267,Boban Marjanovic,3500000.0
268,Mike Muscala,3500000.0
269,Cole Anthony,3449400.0
270,Corey Kispert,3383640.0
271,Luka Samanic,3355239.0
272,Michael Carter-Williams,3300000.0
273,Georges Niang,3300000.0
274,Isaiah Stewart,3277080.0
275,Chuma Okeke,3277080.0
276,Nickeil Alexander-Walker,3261480.0
277,Alperen Sengun,3214680.0
278,Jon Leuer,3169348.0
279,Trey Burke,3150000.0
280,Aleksej Pokusevski,3113160.0
281,Facundo Campazzo,3100000.0
282,Goga Bitadze,3098400.0
283,Trey Murphy,3053760.0
284,Sterling Brown,3000000.0
285,Frank Jackson,3000000.0
286,Josh Green,2957520.0
287,Tre Mann,2901240.0
288,Andrew Nicholson,2844429.0
289,Matisse Thybulle,2840160.0
290,Saddiq Bey,2824320.0
291,Kai Jones,2770560.0
292,Brandon Clarke,2726880.0
293,Precious Achiuwa,2711280.0
294,Marc Gasol,2692991.0
295,Jalen Johnson,2659680.0
296,LaMarcus Aldridge,2641691.0
297,James Johnson,2641691.0
298,Ed Davis,2641691.0
299,Andre Iguodala,2641691.0
300,Enes Kanter,2641691.0
301,Avery Bradley,2641691.0
302,Carmelo Anthony,2641691.0
303,Wayne Ellington,2641691.0
304,Trevor Ariza,2641691.0
305,Dwight Howard,2641691.0
306,Udonis Haslem,2641691.0
307,Markieff Morris,2641691.0
308,E'Twaun Moore,2641691.0
309,Paul Millsap,2641691.0
310,Grant Williams,2617800.0
311,Tyrese Maxey,2602920.0
312,Keon Johnson,2553240.0
313,Darius Bazley,2513040.0
314,Trey Lyles,2500000.0
315,Zeke Nnaji,2498760.0
316,Isaiah Jackson,2451240.0
317,Ty Jerome,2412840.0
318,Andre Drummond,2401537.0
319,Austin Rivers,2401537.0
320,Kent Bazemore,2401537.0
321,Hassan Whiteside,2401537.0
322,Otto Porter,2389641.0
323,Victor Oladipo,2389641.0
324,Tony Snell,2389641.0
325,Solomon Hill,2389641.0
326,Ben McLemore,2389641.0
327,Cody Zeller,2389641.0
328,Usman Garuba,2353320.0
329,Leandro Bolmaro,2353320.0
330,Willy Hernangomez,2327220.0
331,Edmond Sumner,2320000.0
332,Nassir Little,2316240.0
333,RJ Hampton,2303040.0
334,DeAndre Bembry,2271045.0
335,Josh Christopher,2259240.0
336,Monta Ellis,2245400.0
337,Drew Eubanks,2239820.0
338,Rodney Hood,2239544.0
339,Elfrid Payton,2239544.0
340,Dylan Windler,2239200.0
341,Immanuel Quickley,2210640.0
342,John Konchar,2200000.0
343,Quentin Grimes,2168640.0
344,Jordan Poole,2161440.0
345,Bol Bol,2161152.0
346,Keldon Johnson,2145720.0
347,Payton Pritchard,2137440.0
348,Jahlil Okafor,2130023.0
349,Bones Hyland,2096880.0
350,Nemanja Bjelica,2089448.0
351,Frank Kaminsky,2089448.0
352,Raul Neto,2089448.0
353,Udoka Azubuike,2075880.0
354,Jaden McDaniels,2063280.0
355,Malachi Flynn,2048040.0
356,DeMarcus Cousins,2038942.0
357,Cam Thomas,2036280.0
358,Desmond Bane,2033160.0
359,Jaden Springer,2023680.0
360,Day'Ron Sharpe,2009160.0
361,Garrison Mathews,2000000.0
362,Jordan McLaughlin,2000000.0
363,Jeremiah Robinson-Earl,2000000.0
364,Theo Maledon,2000000.0
365,Kenrich Williams,2000000.0
366,Abdel Nader,2000000.0
367,Santiago Aldama,1994520.0
368,Damian Jones,1977011.0
369,Wesley Matthews,1958495.0
370,Timothe Luwawu,1939350.0
371,Rodney McGruder,1939350.0
372,Moses Brown,1933909.0
373,Wesley Iwundu,1926834.0
374,Jose Alvarado,1925406.0
375,Damion Lee,1910860.0
376,PJ Dozier,1910860.0
377,Killian Tillie,1901625.0
378,Tyrell Terry,1869438.0
